-- outcome-call-depth
-- covers: Runaway recursion stops with a message, not a stack overflow.

000* def        L1-4         d0  def forever(n)
001  literal    L4:14-15     d3  1
002  name       L2:19-20     d3  n -> 1
003  literal    L2:23-24     d3  1
004  binop      L2:19-24     d2  n + 1 -> 2
005  name       L2:19-20     d3  n -> 2
006  literal    L2:23-24     d3  1
007  binop      L2:19-24     d2  n + 1 -> 3
008  name       L2:19-20     d3  n -> 3
009  literal    L2:23-24     d3  1
010  binop      L2:19-24     d2  n + 1 -> 4
011  name       L2:19-20     d3  n -> 4
012  literal    L2:23-24     d3  1
013  binop      L2:19-24     d2  n + 1 -> 5
014  name       L2:19-20     d3  n -> 5
015  literal    L2:23-24     d3  1
016  binop      L2:19-24     d2  n + 1 -> 6
017  name       L2:19-20     d3  n -> 6
018  literal    L2:23-24     d3  1
019  binop      L2:19-24     d2  n + 1 -> 7
020  name       L2:19-20     d3  n -> 7
021  literal    L2:23-24     d3  1
022  binop      L2:19-24     d2  n + 1 -> 8
023  name       L2:19-20     d3  n -> 8
024  literal    L2:23-24     d3  1
025  binop      L2:19-24     d2  n + 1 -> 9
026  name       L2:19-20     d3  n -> 9
027  literal    L2:23-24     d3  1
028  binop      L2:19-24     d2  n + 1 -> 10
029  name       L2:19-20     d3  n -> 10
030  literal    L2:23-24     d3  1
031  binop      L2:19-24     d2  n + 1 -> 11
032  name       L2:19-20     d3  n -> 11
033  literal    L2:23-24     d3  1
034  binop      L2:19-24     d2  n + 1 -> 12
035  name       L2:19-20     d3  n -> 12
036  literal    L2:23-24     d3  1
037  binop      L2:19-24     d2  n + 1 -> 13
038  name       L2:19-20     d3  n -> 13
039  literal    L2:23-24     d3  1
040  binop      L2:19-24     d2  n + 1 -> 14
041  name       L2:19-20     d3  n -> 14
042  literal    L2:23-24     d3  1
043  binop      L2:19-24     d2  n + 1 -> 15
044  name       L2:19-20     d3  n -> 15
045  literal    L2:23-24     d3  1
046  binop      L2:19-24     d2  n + 1 -> 16
047  name       L2:19-20     d3  n -> 16
048  literal    L2:23-24     d3  1
049  binop      L2:19-24     d2  n + 1 -> 17
050  name       L2:19-20     d3  n -> 17
051  literal    L2:23-24     d3  1
052  binop      L2:19-24     d2  n + 1 -> 18
053  name       L2:19-20     d3  n -> 18
054  literal    L2:23-24     d3  1
055  binop      L2:19-24     d2  n + 1 -> 19
056  name       L2:19-20     d3  n -> 19
057  literal    L2:23-24     d3  1
058  binop      L2:19-24     d2  n + 1 -> 20
059  name       L2:19-20     d3  n -> 20
060  literal    L2:23-24     d3  1
061  binop      L2:19-24     d2  n + 1 -> 21
062  name       L2:19-20     d3  n -> 21
063  literal    L2:23-24     d3  1
064  binop      L2:19-24     d2  n + 1 -> 22
065  name       L2:19-20     d3  n -> 22
066  literal    L2:23-24     d3  1
067  binop      L2:19-24     d2  n + 1 -> 23
068  name       L2:19-20     d3  n -> 23
069  literal    L2:23-24     d3  1
070  binop      L2:19-24     d2  n + 1 -> 24
071  name       L2:19-20     d3  n -> 24
072  literal    L2:23-24     d3  1
073  binop      L2:19-24     d2  n + 1 -> 25
074  name       L2:19-20     d3  n -> 25
075  literal    L2:23-24     d3  1
076  binop      L2:19-24     d2  n + 1 -> 26
077  name       L2:19-20     d3  n -> 26
078  literal    L2:23-24     d3  1
079  binop      L2:19-24     d2  n + 1 -> 27
080  name       L2:19-20     d3  n -> 27
081  literal    L2:23-24     d3  1
082  binop      L2:19-24     d2  n + 1 -> 28
083  name       L2:19-20     d3  n -> 28
084  literal    L2:23-24     d3  1
085  binop      L2:19-24     d2  n + 1 -> 29
086  name       L2:19-20     d3  n -> 29
087  literal    L2:23-24     d3  1
088  binop      L2:19-24     d2  n + 1 -> 30
089  name       L2:19-20     d3  n -> 30
090  literal    L2:23-24     d3  1
091  binop      L2:19-24     d2  n + 1 -> 31
092  name       L2:19-20     d3  n -> 31
093  literal    L2:23-24     d3  1
094  binop      L2:19-24     d2  n + 1 -> 32
095  name       L2:19-20     d3  n -> 32
096  literal    L2:23-24     d3  1
097  binop      L2:19-24     d2  n + 1 -> 33
098  name       L2:19-20     d3  n -> 33
099  literal    L2:23-24     d3  1
100  binop      L2:19-24     d2  n + 1 -> 34
101  name       L2:19-20     d3  n -> 34
102  literal    L2:23-24     d3  1
103  binop      L2:19-24     d2  n + 1 -> 35
104  name       L2:19-20     d3  n -> 35
105  literal    L2:23-24     d3  1
106  binop      L2:19-24     d2  n + 1 -> 36
107  name       L2:19-20     d3  n -> 36
108  literal    L2:23-24     d3  1
109  binop      L2:19-24     d2  n + 1 -> 37
110  name       L2:19-20     d3  n -> 37
111  literal    L2:23-24     d3  1
112  binop      L2:19-24     d2  n + 1 -> 38
113  name       L2:19-20     d3  n -> 38
114  literal    L2:23-24     d3  1
115  binop      L2:19-24     d2  n + 1 -> 39
116  name       L2:19-20     d3  n -> 39
117  literal    L2:23-24     d3  1
118  binop      L2:19-24     d2  n + 1 -> 40
119  name       L2:19-20     d3  n -> 40
120  literal    L2:23-24     d3  1
121  binop      L2:19-24     d2  n + 1 -> 41
122  name       L2:19-20     d3  n -> 41
123  literal    L2:23-24     d3  1
124  binop      L2:19-24     d2  n + 1 -> 42
125  name       L2:19-20     d3  n -> 42
126  literal    L2:23-24     d3  1
